Carbonate budgets,Coral production,CCA production,Micro bioerosion,Macro bioerosion,PF erosion,Urchin erosion,Coral cover,CCA cover,Macroalgae cover,Turf cover,Transect,Year
2.239,2.121,0.117,-0.420,-0.004,-0.025,-0.020,10.645,28.223,14.844,41.895,1,2021
0.952,0.812,0.140,-0.424,-0.002,-1.160,-0.005,7.415,32.683,13.366,29.171,2,2021
1.478,1.378,0.100,-0.377,-0.005,-0.123,0.000,10.362,27.077,26.882,26.686,3,2021
2.183,2.113,0.070,-0.358,-0.006,-2.147,0.000,14.644,18.096,30.962,22.699,4,2021
1.096,1.002,0.094,-0.384,-0.005,-2.129,-0.020,7.115,23.617,18.972,40.415,5,2021
2.700,2.620,0.081,-0.382,-0.018,-0.132,-0.028,18.602,19.783,16.142,33.858,6,2021
,,,,,-2.117,,,,,,7,2021
,,,,,-0.204,,,,,,8,2021
,,,,,-0.230,,,,,,9,2021
,,,,,-0.149,,,,,,10,2021
0.194,0.480,0.026,-0.358,0.000,-0.188,0.000,4.098,7.416,21.463,60.973,1,2024
1.067,1.024,0.042,-0.476,0.000,-0.063,0.000,8.389,8.880,13.268,62.437,2,2024
-0.046,0.277,0.043,-0.367,0.000,-0.139,0.000,2.537,11.903,19.122,56.486,3,2024
0.727,0.639,0.033,-0.371,0.000,-0.207,0.000,6.233,8.473,23.466,49.268,4,2024
0.686,0.204,0.035,-0.400,0.000,-0.018,0.000,1.269,13.855,24.683,50.534,5,2024
2.006,0.722,0.039,-0.347,-0.033,-0.021,0.000,8.000,10.829,31.609,40.683,6,2024
,,,,,-0.073,,,,,,7,2024
,,,,,-0.013,,,,,,8,2024
,,,,,-0.230,,,,,,9,2024
,,,,,-0.012,,,,,,10,2024
1.987,1.784,0.203,-0.080,-0.023,-0.615,-0.017,12.000,61.650,3.050,14.360,1,2018
1.725,1.505,0.220,-0.056,-0.033,-0.447,-0.005,15.140,63.620,2.460,9.830,2,2018
1.447,1.191,0.256,-0.030,-0.059,-0.259,0.000,8.860,72.910,1.390,6.670,3,2018
2.042,1.807,0.235,-0.033,-0.019,-0.724,-0.009,12.780,67.730,0.720,7.940,4,2018
0.869,0.721,0.148,-0.133,-0.029,-0.078,-0.010,8.980,42.000,11.660,23.320,5,2018
1.576,1.395,0.180,-0.076,-0.041,-0.900,-0.056,14.550,52.020,5.010,15.830,6,2018
,,,,,-0.328,,,,,,7,2018
,,,,,-0.444,,,,,,8,2018
,,,,,-0.415,,,,,,9,2018
,,,,,-0.030,,,,,,10,2018
1.117,1.072,0.046,-0.231,-0.040,-0.815,-0.006,11.250,13.870,18.040,50.820,1,2015
1.076,1.047,0.030,-0.245,-0.111,-0.291,-0.006,11.350,9.210,3.880,59.170,2,2015
1.230,1.200,0.030,-0.260,0.000,-0.072,-0.019,9.420,8.830,5.920,68.350,3,2015
1.470,1.431,0.039,-0.249,-0.056,-0.189,-0.016,12.510,10.770,16.970,49.560,4,2015
1.764,1.730,0.034,-0.243,-0.044,-0.033,-0.018,17.940,9.120,11.640,51.990,5,2015
1.347,1.311,0.036,-0.256,0.000,-0.045,-0.001,12.070,10.990,13.640,59.080,6,2015
,,,,,-0.023,,,,,,7,2015
,,,,,-0.695,,,,,,8,2015
,,,,,-0.195,,,,,,9,2015
,,,,,-0.035,,,,,,10,2015
